SNo,County or equivalent,State or district,Rank,Population,Core Based Statistical Area,Combined Statistical Area
1805,Grant County,New Mexico,1436,29388,"Silver City, NM Micropolitan Statistical Area",
1806,Guadalupe County,New Mexico,2864,4603,,
1807,Harding County,New Mexico,3129,707,,
1808,Hidalgo County,New Mexico,2851,4794,,
1809,Lea County,New Mexico,792,66338,"Hobbs, NM Micropolitan Statistical Area",
1810,Lincoln County,New Mexico,1824,20309,,
1811,Los Alamos County,New Mexico,1912,18159,"Los Alamos, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1812,Luna County,New Mexico,1607,25041,"Deming, NM Micropolitan Statistical Area",
1813,McKinley County,New Mexico,744,73016,"Gallup, NM Micropolitan Statistical Area",
1814,Mora County,New Mexico,2858,4705,,
1815,Otero County,New Mexico,797,66041,"Alamogordo, NM Micropolitan Statistical Area",
1816,Quay County,New Mexico,2536,8769,,
1817,Rio Arriba County,New Mexico,1170,40318,"Española, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1818,Roosevelt County,New Mexico,1820,20419,"Portales, NM Micropolitan Statistical Area","Clovis-Portales, NM Combined Statistical Area"
1819,Sandoval County,New Mexico,460,"1,35,588","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1820,San Juan County,New Mexico,481,"1,28,529","Farmington, NM Metropolitan Statistical Area",
1821,San Miguel County,New Mexico,1454,28891,"Las Vegas, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1822,Santa Fe County,New Mexico,433,"1,46,375","Santa Fe, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1823,Sierra County,New Mexico,2304,11895,,
1824,Socorro County,New Mexico,1942,17603,,
1825,Taos County,New Mexico,1361,32779,"Taos, NM Micropolitan Statistical Area",
1826,Torrance County,New Mexico,2046,16021,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1827,Union County,New Mexico,2873,4431,,
1828,Valencia County,New Mexico,715,76631,"Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
1829,Albany County,New York,212,"3,05,455","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1830,Allegany County,New York,1005,48357,,
1831,Bronx County,New York,26,"14,08,473","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1832,Broome County,New York,324,"1,98,060","Binghamton, NY Metropolitan Statistical Area",
1833,Cattaraugus County,New York,691,79458,"Olean, NY Micropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
1834,Cayuga County,New York,690,79552,"Auburn, NY Micropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
1835,Chautauqua County,New York,469,"1,33,539","Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",
1836,Chemung County,New York,643,88911,"Elmira, NY Metropolitan Statistical Area","Elmira-Corning, NY Combined Statistical Area"
1837,Chenango County,New York,980,49933,,
1838,Clinton County,New York,680,81654,"Plattsburgh, NY Micropolitan Statistical Area",
1839,Columbia County,New York,837,62499,"Hudson, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1840,Cortland County,New York,992,49474,"Cortland, NY Micropolitan Statistical Area","Ithaca-Cortland, NY Combined Statistical Area"
1841,Delaware County,New York,1023,47276,,
1842,Dutchess County,New York,223,"2,97,322","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1843,Erie County,New York,54,"9,19,086","Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
1844,Essex County,New York,1196,38961,,
1845,Franklin County,New York,959,51795,"Malone, NY Micropolitan Statistical Area",
1846,Fulton County,New York,913,54925,"Gloversville, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1847,Genesee County,New York,865,59977,"Batavia, NY Micropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1848,Greene County,New York,1003,48673,,
1849,Hamilton County,New York,2854,4778,,
1850,Herkimer County,New York,816,64508,"Utica-Rome, NY Metropolitan Statistical Area",
1851,Jefferson County,New York,508,"1,20,262","Watertown-Fort Drum, NY Metropolitan Statistical Area",
1852,Kings County,New York,8,"25,65,635","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1853,Lewis County,New York,1522,27224,,
1854,Livingston County,New York,814,64810,"Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1855,Madison County,New York,747,72382,"Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
1856,Monroe County,New York,79,"7,47,813","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1857,Montgomery County,New York,978,49941,"Amsterdam, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1858,Nassau County,New York,28,"13,49,233","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1859,New York County,New York,20,"16,19,090","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1860,Niagara County,New York,292,"2,15,124","Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
1861,Oneida County,New York,277,"2,33,556","Utica-Rome, NY Metropolitan Statistical Area",
1862,Onondaga County,New York,143,"4,66,852","Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
1863,Ontario County,New York,545,"1,08,519","Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1864,Orange County,New York,177,"3,74,512","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1865,Orleans County,New York,1117,42836,"Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1866,Oswego County,New York,505,"1,21,700","Syracuse, NY Metropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
1867,Otsego County,New York,842,61709,"Oneonta, NY Micropolitan Statistical Area",
1868,Putnam County,New York,591,99607,"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1869,Queens County,New York,10,"22,72,771","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1870,Rensselaer County,New York,394,"1,59,835","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1871,Richmond County,New York,140,"4,70,728","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1872,Rockland County,New York,206,"3,17,757","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1873,St. Lawrence County,New York,535,"1,12,232","Ogdensburg-Massena, NY Micropolitan Statistical Area",
1874,Saratoga County,New York,284,"2,22,133","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1875,Schenectady County,New York,407,"1,55,124","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1876,Schoharie County,New York,1387,32099,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1877,Schuyler County,New York,1895,18514,,
1878,Seneca County,New York,1295,35305,"Seneca Falls, NY Micropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1879,Steuben County,New York,592,99063,"Corning, NY Micropolitan Statistical Area","Elmira-Corning, NY Combined Statistical Area"
1880,Suffolk County,New York,24,"14,99,273","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1881,Sullivan County,New York,714,76793,,
1882,Tioga County,New York,971,50478,"Binghamton, NY Metropolitan Statistical Area",
1883,Tompkins County,New York,570,"1,02,554","Ithaca, NY Metropolitan Statistical Area","Ithaca-Cortland, NY Combined Statistical Area"
1884,Ulster County,New York,347,"1,81,791","Kingston, NY Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1885,Warren County,New York,807,65538,"Glens Falls, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1886,Washington County,New York,827,62934,"Glens Falls, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
1887,Wayne County,New York,620,92962,"Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1888,Westchester County,New York,46,"9,61,670","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
1889,Wyoming County,New York,1131,41892,,
1890,Yates County,New York,1597,25344,"Rochester, NY Metropolitan Statistical Area","Rochester-Batavia-Seneca Falls, NY Combined Statistical Area"
1891,Alamance County,North Carolina,410,"1,53,920","Burlington, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1892,Alexander County,North Carolina,1252,36853,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1893,Alleghany County,North Carolina,2365,10927,,
1894,Anson County,North Carolina,1547,26351,,
1895,Ashe County,North Carolina,1527,27097,,
1896,Avery County,North Carolina,1939,17635,,
1897,Beaufort County,North Carolina,1020,47507,"Washington, NC Micropolitan Statistical Area","Greenville-Washington, NC Combined Statistical Area"
1898,Bertie County,North Carolina,1801,20653,,
1899,Bladen County,North Carolina,1302,34915,,
1900,Brunswick County,North Carolina,534,"1,12,257","Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area","Myrtle Beach-Conway, SC-NC Combined Statistical Area"
1901,Buncombe County,North Carolina,268,"2,44,490","Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1902,Burke County,North Carolina,634,90505,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1903,Cabarrus County,North Carolina,342,"1,84,498","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1904,Caldwell County,North Carolina,676,81930,"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1905,Camden County,North Carolina,2436,10090,"Elizabeth City, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1906,Carteret County,North Carolina,783,67632,"Morehead City, NC Micropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
1907,Caswell County,North Carolina,1680,23217,,
1908,Catawba County,North Carolina,408,"1,54,339","Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1909,Chatham County,North Carolina,799,65976,"Durham-Chapel Hill, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1910,Cherokee County,North Carolina,1530,26992,,
1911,Chowan County,North Carolina,2124,14772,,
1912,Clay County,North Carolina,2387,10618,,
1913,Cleveland County,North Carolina,600,97474,"Shelby, NC Micropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1914,Columbus County,North Carolina,885,57638,,
1915,Craven County,North Carolina,562,"1,04,770","New Bern, NC Metropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
1916,Cumberland County,North Carolina,200,"3,24,049","Fayetteville, NC Metropolitan Statistical Area","Fayetteville-Lumberton-Laurinburg, NC Combined Statistical Area"
1917,Currituck County,North Carolina,1640,24077,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1918,Dare County,North Carolina,1310,34573,"Kill Devil Hills, NC Micropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1919,Davidson County,North Carolina,383,"1,63,260","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1920,Davie County,North Carolina,1142,41433,"Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1921,Duplin County,North Carolina,864,60033,,
1922,Durham County,North Carolina,238,"2,79,641","Durham-Chapel Hill, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1923,Edgecombe County,North Carolina,904,55954,"Rocky Mount, NC Metropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
1924,Forsyth County,North Carolina,186,"3,58,137","Winston-Salem, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1925,Franklin County,North Carolina,845,61475,"Raleigh, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1926,Gaston County,North Carolina,303,"2,08,049","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1927,Gates County,North Carolina,2306,11869,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area","Virginia Beach-Norfolk, VA-NC Combined Statistical Area"
1928,Graham County,North Carolina,2548,8700,,
1929,Granville County,North Carolina,857,60436,"Oxford, NC Micropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1930,Greene County,North Carolina,1759,21429,,
1931,Guilford County,North Carolina,132,"5,00,879","Greensboro-High Point, NC Metropolitan Statistical Area","Greensboro–Winston-Salem–High Point, NC Combined Statistical Area"
1932,Halifax County,North Carolina,925,54006,"Roanoke Rapids, NC Micropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
1933,Harnett County,North Carolina,502,"1,22,135","Dunn, NC Micropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1934,Haywood County,North Carolina,877,58908,"Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1935,Henderson County,North Carolina,547,"1,08,266","Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1936,Hertford County,North Carolina,1628,24438,,
1937,Hoke County,North Carolina,970,50536,"Fayetteville, NC Metropolitan Statistical Area","Fayetteville-Lumberton-Laurinburg, NC Combined Statistical Area"
1938,Hyde County,North Carolina,2776,5859,,
1939,Iredell County,North Carolina,385,"1,62,708","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1940,Jackson County,North Carolina,1167,40448,"Cullowhee, NC Micropolitan Statistical Area",
1941,Johnston County,North Carolina,358,"1,74,938","Raleigh, NC Metropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1942,Jones County,North Carolina,2420,10275,"New Bern, NC Metropolitan Statistical Area","New Bern-Morehead City, NC Combined Statistical Area"
1943,Lee County,North Carolina,867,59715,"Sanford, NC Micropolitan Statistical Area","Raleigh-Durham-Chapel Hill, NC Combined Statistical Area"
1944,Lenoir County,North Carolina,873,59227,"Kinston, NC Micropolitan Statistical Area",
1945,Lincoln County,North Carolina,692,79313,"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1946,McDowell County,North Carolina,1068,44998,"Marion, NC Micropolitan Statistical Area","Hickory-Lenoir, NC Combined Statistical Area"
1947,Macon County,North Carolina,1329,33869,,
1948,Madison County,North Carolina,1793,20742,"Asheville, NC Metropolitan Statistical Area","Asheville-Brevard, NC Combined Statistical Area"
1949,Martin County,North Carolina,1645,23961,,
1950,Mecklenburg County,North Carolina,45,"9,69,031","Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","Charlotte-Concord, NC-SC Combined Statistical Area"
1951,Mitchell County,North Carolina,2084,15368,,
1952,Montgomery County,North Carolina,1505,27668,,
1953,Moore County,North Carolina,635,90302,"Pinehurst-Southern Pines, NC Micropolitan Statistical Area",
1954,Nash County,North Carolina,608,95708,"Rocky Mount, NC Metropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
1955,New Hanover County,North Carolina,299,"2,09,234","Wilmington, NC Metropolitan Statistical Area",
1956,Northampton County,North Carolina,1760,21428,"Roanoke Rapids, NC Micropolitan Statistical Area","Rocky Mount-Wilson-Roanoke Rapids, NC Combined Statistical Area"
